LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 17:00:50,0                 
Time,Ampl
-0.0028742616,0.0012194485
-0.0028738616,0.001425004
-0.0028734616,0.0014027818
-0.0028730616,0.001225004
-0.0028726616,0.0010777818
-0.0028722616,0.0011083374
-0.0028718616,0.0012472262
-0.0028714616,0.0013361151
-0.0028710616,0.0012583374
-0.0028706616,0.0012111151
-0.0028702616,0.0013361151
-0.0028698616,0.0015027818
-0.0028694616,0.0016083373
-0.0028690616,0.0015333373
-0.0028686616,0.0014111151
-0.0028682616,0.0013472262
-0.0028678616,0.0013027818
-0.0028674616,0.0043250038
-0.0028670616,0.0086916703
-0.0028666616,0.014927781
-0.0028662616,0.021755558
-0.0028658616,0.021558336
-0.0028654616,0.018983336
-0.0028650616,0.016347225
-0.0028646616,0.016627781
-0.0028642616,0.01759167
-0.0028638616,0.015319448
-0.0028634616,0.015427781
-0.0028630616,0.015508337
-0.0028626616,0.015347225
-0.0028622616,0.01526667
-0.0028618616,0.01444167
-0.0028614616,0.014088892
-0.0028610616,0.014197226
-0.0028606616,0.014902781
-0.0028602616,0.015097225
-0.0028598616,0.014925003
-0.0028594616,0.014755559
-0.0028590616,0.014700003
-0.0028586616,0.014800003
-0.0028582616,0.014902781
-0.0028578616,0.015033337
-0.0028574616,0.015252781
-0.0028570616,0.015455559
-0.0028566616,0.01539167
-0.0028562616,0.015313892
-0.0028558616,0.015400003
-0.0028554616,0.015811114
-0.0028550616,0.016325003
-0.0028546616,0.016663892
-0.0028542616,0.016625003
-0.0028538616,0.016347225
-0.0028534616,0.016202781
-0.0028530616,0.016280559
-0.0028526616,0.016375003
-0.0028522616,0.016211114
-0.0028518616,0.016022225
-0.0028514616,0.016047225
-0.0028510616,0.016219448
-0.0028506616,0.016302781
-0.0028502616,0.016313892
-0.0028498616,0.016355559
-0.0028494616,0.016308337
-0.0028490616,0.016188892
-0.0028486616,0.016313892
-0.0028482616,0.016600003
-0.0028478616,0.016744448
-0.0028474616,0.016702781
-0.0028470616,0.016555559
-0.0028466616,0.016422225
-0.0028462616,0.016233337
-0.0028458616,0.01614167
-0.0028454616,0.016233337
-0.0028450616,0.016475003
-0.0028446616,0.016788892
-0.0028442616,0.016977781
-0.0028438616,0.01694167
-0.0028434616,0.016697225
-0.0028430616,0.01644167
-0.0028426616,0.016358336
-0.0028422616,0.016419448
-0.0028418616,0.016500003
-0.0028414616,0.016555559
-0.0028410616,0.016702781
-0.0028406616,0.017011114
-0.0028402616,0.017297225
-0.0028398616,0.017411114
-0.0028394616,0.017277781
-0.0028390616,0.016925003
-0.0028386616,0.016588892
-0.0028382616,0.016586114
-0.0028378616,0.016808336
-0.0028374616,0.016888892
-0.0028370616,0.016808336
-0.0028366616,0.016863892
-0.0028362616,0.017152781
-0.0028358616,0.017369448
-0.0028354616,0.017375003
-0.0028350616,0.01729167
-0.0028346616,0.017233336
-0.0028342616,0.017175003
-0.0028338616,0.017144448
-0.0028334616,0.017280559
-0.0028330616,0.017544448
-0.0028326616,0.017733336
-0.0028322616,0.017919448
-0.0028318616,0.017963892
-0.0028314616,0.016858336
-0.0028310616,0.013625003
-0.0028306616,0.0088888925
-0.0028302616,0.0046750038
-0.0028298616,0.0021861151
-0.0028294616,0.0010416707
-0.0028290616,0.00052222629
-0.0028286616,0.00031111519
-0.0028282616,0.00030278186
-0.0028278616,0.00039167074
-0.0028274616,0.00046389296
-0.0028270616,0.00054722629
-0.0028266616,0.00061389295
-0.0028262616,0.00059722628
-0.0028258616,0.00050278185
-0.0028254616,0.00036944852
-0.0028250616,0.00035555963
-0.0028246616,0.00043611518
-0.0028242616,0.00048611518
-0.0028238616,0.00036667074
-0.0028234616,0.00018055964
-0.0028230616,0.00023611519
-0.0028226616,0.00059722628
-0.0028222616,0.001025004
-0.0028218616,0.0011194485
-0.0028214616,0.00086667071
-0.0028210616,0.00054722629
-0.0028206616,0.00044444852
-0.0028202616,0.00056667073
-0.0028198616,0.00073055961
-0.0028194616,0.00092500404
-0.0028190616,0.0011416707
-0.0028186616,0.0013805596
-0.0028182616,0.0015666707
-0.0028178616,0.0015888929
-0.0028174616,0.0014472262
-0.0028170616,0.0013472262
-0.0028166616,0.014905559
-0.0028162616,0.04027778
-0.0028158616,0.054822223
-0.0028154616,0.050427779
-0.0028150616,0.031891669
-0.0028146616,0.018808336
-0.0028142616,0.013138892
-0.0028138616,0.010013892
